--- source : https://socket.dev/blog/antv-packages-compromised#Affected-Packages ---

@tanstack/router-devtools (v1.166.16, v1.166.19)
@tanstack/router-devtools-core (v1.167.6, v1.167.9)
@tanstack/router-generator (v1.166.45, v1.166.48)
@tanstack/router-plugin (v1.167.38, v1.167.41)
@tanstack/router-ssr-query-core (v1.168.3, v1.168.6)
@tanstack/router-utils (v1.161.11, v1.161.14)
@tanstack/router-vite-plugin (v1.166.53, v1.166.56)
@tanstack/solid-router (v1.169.5, v1.169.8)
@tanstack/solid-router-devtools (v1.166.16, v1.166.19)
@tanstack/solid-router-ssr-query (v1.166.15, v1.166.18)
@tanstack/solid-start (v1.167.65, v1.167.68)
@tanstack/solid-start-client (v1.166.50, v1.166.53)
@tanstack/solid-start-server (v1.166.54, v1.166.57)
@tanstack/start-client-core (v1.168.5, v1.168.8)
@tanstack/start-fn-stubs (v1.161.12, v1.161.9)
@tanstack/start-plugin-core (v1.169.23, v1.169.26)
@tanstack/start-server-core (v1.167.33, v1.167.36)
@tanstack/start-static-server-functions (v1.166.44, v1.166.47)
@tanstack/start-storage-context (v1.166.38, v1.166.41)
@tanstack/valibot-adapter (v1.166.12, v1.166.15)
@tanstack/virtual-file-routes (v1.161.10, v1.161.13)
@tanstack/vue-router (v1.169.5, v1.169.8)
@tanstack/vue-router-devtools (v1.166.16, v1.166.19)
@tanstack/vue-router-ssr-query (v1.166.15, v1.166.18)
@tanstack/vue-start (v1.167.61, v1.167.64)
@tanstack/vue-start-client (v1.166.46, v1.166.49)
@tanstack/vue-start-server (v1.166.50, v1.166.53)
@tanstack/zod-adapter (v1.166.12, v1.166.15)
@taskflow-corp/cli (v0.1.24, v0.1.25, v0.1.26, v0.1.27, v0.1.28, v0.1.29)
@tolka/cli (v1.0.2, v1.0.3, v1.0.4, v1.0.5, v1.0.6)
@uipath/access-policy-sdk (v0.3.1)
@uipath/access-policy-tool (v0.3.1)
@uipath/admin-tool (v0.1.1)
@uipath/agent-sdk (v1.0.2)
@uipath/agent-tool (v1.0.1)
@uipath/agent.sdk (v0.0.18)
@uipath/aops-policy-tool (v0.3.1)
@uipath/ap-chat (v1.5.7)
@uipath/api-workflow-tool (v1.0.1)
@uipath/apollo-core (v5.9.2)
@uipath/apollo-react (v4.24.5)
@uipath/apollo-wind (v2.16.2)
@uipath/auth (v1.0.1)
@uipath/case-tool (v1.0.1)
@uipath/cli (v1.0.1)
@uipath/codedagent-tool (v1.0.1)
@uipath/codedagents-tool (v0.1.12)
@uipath/codedapp-tool (v1.0.1)
@uipath/common (v1.0.1)
@uipath/context-grounding-tool (v0.1.1)
@uipath/data-fabric-tool (v1.0.2)
@uipath/docsai-tool (v1.0.1)
@uipath/filesystem (v1.0.1)
@uipath/flow-tool (v1.0.2)
@uipath/functions-tool (v1.0.1)
@uipath/gov-tool (v0.3.1)
@uipath/identity-tool (v0.1.1)
@uipath/insights-sdk (v1.0.1)
@uipath/insights-tool (v1.0.1)
@uipath/integrationservice-sdk (v1.0.2)
@uipath/integrationservice-tool (v1.0.2)
@uipath/llmgw-tool (v1.0.1)
@uipath/maestro-sdk (v1.0.1)
@uipath/maestro-tool (v1.0.1)
@uipath/orchestrator-tool (v1.0.1)
@uipath/packager-tool-apiworkflow (v0.0.19)
@uipath/packager-tool-bpmn (v0.0.9)
@uipath/packager-tool-case (v0.0.9)
@uipath/packager-tool-connector (v0.0.19)
@uipath/packager-tool-flow (v0.0.19)
@uipath/packager-tool-functions (v0.1.1)
